group,category,service,zip_path
48_Light,,Source Code,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Source-Code_48_Light.png
48_Light,,Office building,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Office-building_48_Light.png
48_Light,,Firewall,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Firewall_48_Light.svg
48_Light,,Tape storage,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Tape-storage_48_Light.png
48_Light,,Credentials,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Credentials_48_Light.png
48_Light,,Servers,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Servers_48_Light.svg
48_Light,,Database,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Database_48_Light.png
48_Light,,User,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_User_48_Light.png
48_Light,,SDK,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_SDK_48_Light.svg
48_Light,,Chat,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Chat_48_Light.svg
48_Light,,Internet alt2,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Internet-alt2_48_Light.png
48_Light,,Magnifying Glass,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Magnifying-Glass_48_Light.png
48_Light,,Cold Storage,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Cold-Storage_48_Light.svg
48_Light,,Recover,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Recover_48_Light.svg
48_Light,,Disk,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Disk_48_Light.svg
48_Light,,Folders,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Folders_48_Light.svg
48_Light,,JSON Script,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_JSON-Script_48_Light.png
48_Light,,Email,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Email_48_Light.svg
48_Light,,Alert,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Alert_48_Light.png
48_Light,,Documents,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Documents_48_Light.svg
48_Light,,Data Stream,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Data-Stream_48_Light.svg
48_Light,,SSL padlock,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_SSL-padlock_48_Light.svg
48_Light,,Folder,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Folder_48_Light.svg
48_Light,,Mobile client,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Mobile-client_48_Light.svg
48_Light,,Shield,Resource-Icons_02072025/Res_General-Icons/Res_48_Light/Res_Shield_48_Light.png
