icon_type,file_path,file_name,stem,dir_name,candidate_name,canonical_service_name,coarse_class,service_code_mapped,matched
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-Pinpoint_64.svg,Arch_Amazon-Pinpoint_64.svg,Arch_Amazon-Pinpoint_64,64,Arch Amazon Pinpoint,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-Pinpoint_16.svg,Arch_Amazon-Pinpoint_16.svg,Arch_Amazon-Pinpoint_16,16,Arch Amazon Pinpoint,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-Simple-Email-Service_16.svg,Arch_Amazon-Simple-Email-Service_16.svg,Arch_Amazon-Simple-Email-Service_16,16,Arch Amazon Simple Email Service,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_AWS-Supply-Chain_16.svg,Arch_AWS-Supply-Chain_16.svg,Arch_AWS-Supply-Chain_16,16,Arch AWS Supply Chain,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_AWS-Wickr_16.svg,Arch_AWS-Wickr_16.svg,Arch_AWS-Wickr_16,16,Arch AWS Wickr,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_AWS-End-User-Messaging_16.svg,Arch_AWS-End-User-Messaging_16.svg,Arch_AWS-End-User-Messaging_16,16,Arch AWS End User Messaging,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Alexa-For-Business_16.svg,Arch_Alexa-For-Business_16.svg,Arch_Alexa-For-Business_16,16,Arch Alexa For Business,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-Pinpoint-APIs_16.svg,Arch_Amazon-Pinpoint-APIs_16.svg,Arch_Amazon-Pinpoint-APIs_16,16,Arch Amazon Pinpoint APIs,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_AWS-AppFabric_16.svg,Arch_AWS-AppFabric_16.svg,Arch_AWS-AppFabric_16,16,Arch AWS AppFabric,,,,False
service,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_AWS-AppFabric_32.svg,Arch_AWS-AppFabric_32.svg,Arch_AWS-AppFabric_32,32,Arch AWS AppFabric,,,,False
