number,value,datetime_start,datetime_complete,duration,params_lr0,params_lrf,params_momentum,params_optimizer,params_patience,params_weight_decay,state
36,0.7905296588411177,2025-12-10 06:42:59.820518,2025-12-10 06:46:35.593129,0 days 00:03:35.772611,0.0006879914127400362,0.08151448918864987,0.9525576591160764,SGD,40,0.0005689491763834476,COMPLETE
37,0.7867584004549474,2025-12-10 06:46:35.598655,2025-12-10 06:49:54.160581,0 days 00:03:18.561926,0.0003724389430739907,0.09661159235632703,0.940489410026969,AdamW,45,0.0003810332691803568,COMPLETE
38,0.7869124700322351,2025-12-10 06:49:54.166091,2025-12-10 06:53:21.481063,0 days 00:03:27.314972,0.001138293479316361,0.09265004421139418,0.9320050858274772,SGD,30,0.0005651442965098618,COMPLETE
39,0.802100826118893,2025-12-10 06:53:21.486676,2025-12-10 06:57:32.799742,0 days 00:04:11.313066,0.004111245170512063,0.0641069312755705,0.9463107649565848,AdamW,35,0.00023393361226952742,COMPLETE
40,0.7886524695327426,2025-12-10 06:57:32.805420,2025-12-10 07:00:54.729873,0 days 00:03:21.924453,0.00022247566133636257,0.04872414772946367,0.9650350800830124,AdamW,45,0.0004624464844875723,COMPLETE
41,0.7994034013257141,2025-12-10 07:00:54.735302,2025-12-10 07:05:35.006358,0 days 00:04:40.271056,0.0012652414474851096,0.09886827754047442,0.9583461557775533,AdamW,50,0.0008446765634467638,COMPLETE
42,0.8012380111514685,2025-12-10 07:05:35.011913,2025-12-10 07:10:50.699503,0 days 00:05:15.687590,0.002515027829214936,0.07315377488890493,0.9722509917800842,AdamW,45,0.0009116187526661143,COMPLETE
43,0.7982606965598433,2025-12-10 07:10:50.705101,2025-12-10 07:15:21.205970,0 days 00:04:30.500869,0.0008717809664404474,0.05244619532589243,0.903719813793028,AdamW,50,0.0007865736816048691,COMPLETE
44,0.7977917630664666,2025-12-10 07:15:21.211387,2025-12-10 07:19:11.693063,0 days 00:03:50.481676,0.0029420729765702227,0.08282941078136316,0.9521572331840831,AdamW,40,0.0005005534160323181,COMPLETE
45,0.7963221489456394,2025-12-10 07:19:11.698652,2025-12-10 07:24:01.912095,0 days 00:04:50.213443,0.0013932321776896673,0.0629677039260277,0.9618317206298624,AdamW,50,0.0005800759032532597,COMPLETE
46,0.7906932636303126,2025-12-10 07:24:01.917626,2025-12-10 07:27:33.952283,0 days 00:03:32.034657,0.0019633640794224547,0.07097348229165014,0.9546673257574164,SGD,45,0.0006883012452719798,COMPLETE
47,0.7994941426592599,2025-12-10 07:27:33.957732,2025-12-10 07:32:47.846983,0 days 00:05:13.889251,0.005431685712372791,0.037809268619926284,0.9418019925087544,AdamW,40,0.0003958182670583158,COMPLETE
48,0.8021305174087301,2025-12-10 07:32:47.852435,2025-12-10 07:37:39.650642,0 days 00:04:51.798207,0.004048421453986271,0.07864912208520654,0.9702862142103623,AdamW,50,0.0007434149100001284,COMPLETE
49,0.7939260119920247,2025-12-10 07:37:39.656149,2025-12-10 07:42:15.152909,0 days 00:04:35.496760,0.007346792629547226,0.05657287062999266,0.9220086150079226,AdamW,45,0.0002699393625942813,COMPLETE
